"","Staton_name","Pop Density","Very dense","Mod dense","open Forest","Latitude","Longitude"
"1","Alipur",1,0.00025,0.016659091,0.020568182,28.815329,77.15301
"2","Anand_Vihar",3,0,0.0178125,0.02890625,28.646835,77.316032
"3","Ashok_Vihar",8,0.00025,0.016659091,0.020568182,28.695381,77.181665
"4","Aya_Nagar",1,0.01044,0.05448,0.24836,28.4706914,77.1099364
"5","Bawana",1,0.00025,0.016659091,0.020568182,28.7762,77.051074
"6","Burari_Crossing",2,0,0.050677966,0.030847458,28.7256504,77.2011573
"7","CRRI_Mathura_Road",3,0.01044,0.05448,0.24836,28.5512005,77.2735737
"8","Dr_Karni_Singh_Shooting_Range",6,0.01044,0.05448,0.24836,28.498571,77.26484
"9","DTU",1,0.00025,0.016659091,0.020568182,28.7500499,77.1112615
"10","Dwarka_Sector_8",3,0.005629454,0.030166271,0.063491686,28.5710274,77.0719006
"11","East_Arjun_Nagar",7,0,0.0178125,0.02890625,28.6556017,77.2859318
"12","IGI_Airport_T3",1,0.005629454,0.030166271,0.063491686,28.5627763,77.1180053
"13","IHBAS",7,0,0.018666667,0.049666667,28.6811736,77.3025234
"14","ITO",10,0,0.0892,0.1128,28.6316945,77.2494387
"15","Jahangirpuri",5,0.00025,0.016659091,0.020568182,28.73282,77.170633
"16","Jawaharlal_Nehru_Stadium",3,0.01044,0.05448,0.24836,28.58028,77.233829
"17","Lodhi_Road",4,0.047714286,0.158,0.260285714,28.5918245,77.2273074
"18","Major_Dhyan_Chand_National_Stadium",2,0.047714286,0.158,0.260285714,28.611281,77.237738
"19","Mandir_Marg",8,0.047714286,0.158,0.260285714,28.636429,77.201067
"20","Mundka",9,0,0.021860465,0.027209302,28.684678,77.076574
"21","Najafgarh",1,0.005629454,0.030166271,0.063491686,28.570173,76.933762
"22","Narela",1,0.00025,0.016659091,0.020568182,28.822836,77.101981
"23","Nehru_Nagar",4,0.01044,0.05448,0.24836,28.56789,77.250515
"24","North_Campus",6,0,0.021860465,0.027209302,28.6573814,77.1585447
"25","NSIT_Dwarka",2,0.005629454,0.030166271,0.063491686,28.60909,77.0325413
"26","Okhla_Phase_2",9,0.01044,0.05448,0.24836,28.530785,77.271255
"27","Patparganj",9,0,0.0178125,0.02890625,28.623748,77.287205
"28","Punjabi_Bagh",7,0.005629454,0.030166271,0.063491686,28.563262,77.186937
"29","Pusa_Delhi_DPCC",9,0,0.021860465,0.027209302,28.639645,77.146262
"30","Pusa_New_Delhi_IMD",6,0.005629454,0.030166271,0.063491686,28.645,77.167
"31","RK_Puram",4,0,0.021860465,0.027209302,28.674045,77.131023
"32","Rohini",4,0.00025,0.016659091,0.020568182,28.732528,77.11992
"33","Shadipur",6,0,0.021860465,0.027209302,28.6514781,77.1473105
"34","Sirifort",7,0.01044,0.05448,0.24836,28.5504249,77.2159377
"35","Sonia_Vihar",4,0,0.018666667,0.049666667,28.710508,77.249485
"36","Sri_Aurobindo_Marg",4,0.01044,0.05448,0.24836,28.531346,77.190156
"37","Vivek_Vihar",9,0,0.018666667,0.049666667,28.672342,77.31526
"38","Wazirpur",6,0.00025,0.016659091,0.020568182,28.699793,77.165453
